timestamp,seq_id,robot_time,x,y,z,q0,q1,q2,q3
13402.765000,151796,6145366.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.765000,151797,6145370.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.765000,151798,6145374.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.781000,151799,6145378.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.781000,151800,6145382.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.781000,151801,6145386.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.796000,151802,6145390.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.796000,151803,6145394.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.796000,151804,6145398.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.796000,151805,6145402.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.796000,151806,6145406.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.796000,151807,6145410.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.812000,151808,6145414.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.812000,151809,6145418.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.828000,151810,6145422.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.828000,151811,6145426.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.828000,151812,6145430.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.828000,151813,6145434.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.843000,151814,6145438.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.843000,151815,6145442.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.843000,151816,6145446.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.843000,151817,6145450.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.843000,151818,6145454.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.843000,151819,6145458.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.875000,151820,6145462.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.875000,151821,6145466.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.875000,151822,6145470.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.875000,151823,6145474.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.875000,151824,6145478.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.875000,151825,6145482.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.890000,151826,6145486.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.890000,151827,6145490.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.890000,151828,6145494.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.890000,151829,6145498.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.890000,151830,6145502.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.890000,151831,6145506.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.921000,151832,6145510.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.921000,151833,6145514.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.921000,151834,6145518.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.921000,151835,6145522.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.921000,151836,6145526.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.921000,151837,6145530.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.937000,151838,6145534.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.937000,151839,6145538.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.937000,151840,6145542.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.937000,151841,6145546.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.937000,151842,6145550.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.937000,151843,6145554.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.968000,151844,6145558.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.968000,151845,6145562.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.968000,151846,6145566.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.968000,151847,6145570.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.968000,151848,6145574.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.968000,151849,6145578.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.984000,151850,6145582.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.984000,151851,6145586.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.984000,151852,6145590.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.984000,151853,6145594.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.984000,151854,6145598.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
13402.984000,151855,6145602.000,-0.000,-0.000,100.000,0.000000,-0.707107,0.707107,-0.000000
