timestamp,seg_nr,print_time,duration,start_x,start_y,start_z,end_x,end_y,end_z,distance,start_v,cruise_v,end_v
13409.656000,28,1397.241590,3.341806,50.0000,50.0000,10.0000,150.0000,50.0000,10.0000,100.0000,0.0000,30.0000,5.0000
13412.250000,29,1400.583396,3.340278,150.0000,50.0000,10.0000,150.0000,150.0000,10.0000,100.0000,5.0000,30.0000,5.0000
13415.593000,30,1403.923673,3.340278,150.0000,150.0000,10.0000,50.0000,150.0000,10.0000,100.0000,5.0000,30.0000,5.0000
13418.937000,31,1407.263951,3.341148,50.0000,150.0000,10.0000,50.0000,50.0000,10.0000,100.0000,5.0000,30.0000,2.0412
13418.937000,32,1410.605100,0.042668,50.0000,50.0000,10.0000,50.0000,50.0000,10.3000,0.3000,2.0412,10.0000,2.0412
13422.312000,33,1410.647768,2.511108,50.0000,50.0000,10.3000,150.0000,50.0000,10.3000,100.0000,2.0412,40.0000,5.0000
13424.828000,34,1413.158876,2.510208,150.0000,50.0000,10.3000,150.0000,150.0000,10.3000,100.0000,5.0000,40.0000,5.0000
13427.343000,35,1415.669084,2.510208,150.0000,150.0000,10.3000,50.0000,150.0000,10.3000,100.0000,5.0000,40.0000,5.0000
13429.843000,36,1418.179292,2.511108,50.0000,150.0000,10.3000,50.0000,50.0000,10.3000,100.0000,5.0000,40.0000,2.0412
13429.843000,37,1420.690400,0.042668,50.0000,50.0000,10.3000,50.0000,50.0000,10.6000,0.3000,2.0412,10.0000,2.0412
13432.406000,38,1420.733069,4.257818,50.0000,50.0000,10.6000,200.0000,200.0000,10.6000,212.1320,2.0412,50.0000,2.5337
13436.656000,39,1424.990886,3.015020,200.0000,200.0000,10.6000,50.0000,200.0000,10.6000,150.0000,2.5337,50.0000,2.5337
13439.671000,40,1428.005907,4.257661,50.0000,200.0000,10.6000,200.0000,50.0000,10.6000,212.1320,2.5337,50.0000,2.5337
13443.937000,41,1432.263568,3.015177,200.0000,50.0000,10.6000,50.0000,50.0000,10.6000,150.0000,2.5337,50.0000,2.0412
13443.937000,42,1435.278745,0.042668,50.0000,50.0000,10.6000,50.0000,50.0000,10.9000,0.3000,2.0412,10.0000,2.0412
13446.984000,43,1435.321413,20.001472,50.0000,50.0000,10.9000,250.0000,50.0000,10.9000,200.0000,2.0412,10.0000,5.0000
13466.984000,44,1455.322885,6.673611,250.0000,50.0000,10.9000,250.0000,250.0000,10.9000,200.0000,5.0000,30.0000,5.0000
13473.656000,45,1461.996496,2.030083,250.0000,250.0000,10.9000,50.0000,250.0000,10.9000,200.0000,5.0000,100.0000,5.0000
13475.687000,46,1464.026580,1.380878,50.0000,250.0000,10.9000,50.0000,50.0000,10.9000,200.0000,5.0000,150.0000,2.4686
13477.078000,47,1465.407458,4.331160,50.0000,50.0000,10.9000,200.0000,200.0000,50.0000,215.7054,2.4686,50.0000,0.5572
13481.406000,48,1469.738618,2.966303,200.0000,200.0000,50.0000,100.0000,100.0000,10.0000,146.9694,0.5572,50.0000,0.0000
