timestamp,seq_id,x,y,z,velocity,seg_nr,seg_progress
5399.937168,1,50.000,50.000,10.000,0.000,1,0.0000
5399.957321,2,50.450,50.000,10.000,30.000,1,0.0060
5399.977475,3,51.050,50.000,10.000,30.000,1,0.0120
5399.997618,4,51.650,50.000,10.000,30.000,1,0.0180
5400.017766,5,52.250,50.000,10.000,30.000,1,0.0239
5400.037957,6,52.850,50.000,10.000,30.000,1,0.0299
5400.058137,7,53.450,50.000,10.000,30.000,1,0.0359
5400.078310,8,54.050,50.000,10.000,30.000,1,0.0419
5400.098504,9,54.650,50.000,10.000,30.000,1,0.0479
5400.118678,10,55.250,50.000,10.000,30.000,1,0.0539
5400.138854,11,55.850,50.000,10.000,30.000,1,0.0598
5400.158984,12,56.450,50.000,10.000,30.000,1,0.0658
5400.179185,13,57.050,50.000,10.000,30.000,1,0.0718
5400.199348,14,57.650,50.000,10.000,30.000,1,0.0778
5400.219542,15,58.250,50.000,10.000,30.000,1,0.0838
5400.239706,16,58.850,50.000,10.000,30.000,1,0.0898
5400.259856,17,59.450,50.000,10.000,30.000,1,0.0958
5400.280045,18,60.050,50.000,10.000,30.000,1,0.1017
5400.300232,19,60.650,50.000,10.000,30.000,1,0.1077
5400.320413,20,61.250,50.000,10.000,30.000,1,0.1137
5400.340602,21,61.850,50.000,10.000,30.000,1,0.1197
5400.360793,22,62.450,50.000,10.000,30.000,1,0.1257
5400.380990,23,63.050,50.000,10.000,30.000,1,0.1317
5400.401199,24,63.650,50.000,10.000,30.000,1,0.1377
5400.421348,25,64.250,50.000,10.000,30.000,1,0.1436
5400.441533,26,64.850,50.000,10.000,30.000,1,0.1496
5400.461641,27,65.450,50.000,10.000,30.000,1,0.1556
5400.481817,28,66.050,50.000,10.000,30.000,1,0.1616
5400.501998,29,66.650,50.000,10.000,30.000,1,0.1676
5400.522222,30,67.250,50.000,10.000,30.000,1,0.1736
5400.542396,31,67.850,50.000,10.000,30.000,1,0.1795
5400.562579,32,68.450,50.000,10.000,30.000,1,0.1855
5400.582769,33,69.050,50.000,10.000,30.000,1,0.1915
