Timestamp,Soll_X,Soll_Y,Soll_Z,Ist_X,Ist_Y,Ist_Z,Extruder_Pos,Soll_Velocity_TCP,Ist_Velocity_TCP,Ist_Velocity_Extruder,Error_TCP,Error_TCP_Speed,Ratio_Score
38.991677,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.024255,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.024988,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.025501,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.026289,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.026832,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.027330,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.034938,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.035756,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.036698,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.037494,150.0000,50.0180,10.0000,-0.0000,-0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.038370,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.039058,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.048519,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.049175,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.049763,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.050446,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.051038,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.051544,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.055020,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.055815,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.056410,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.057072,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.057616,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.058090,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.076678,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.077077,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.077722,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.078588,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.079127,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.080117,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.099252,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.099878,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.100726,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.101251,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.101716,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.102221,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.124623,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.125748,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.126467,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.127421,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.128641,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.129518,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.147809,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.148559,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.149117,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.149699,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.150112,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.150586,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.172435,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.173078,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.173624,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.174246,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.174772,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.175215,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.196149,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.196647,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.197366,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.198087,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.198580,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.199135,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.220188,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.221169,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.221661,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.222223,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.222873,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.223347,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.243736,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.244816,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.245529,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.246477,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.247112,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.247819,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.266915,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.267749,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.268627,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.269547,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.270274,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.270917,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.291664,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.292319,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.293143,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.293705,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.294134,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.294824,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.316043,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.316571,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.317169,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.317865,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.318450,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.319191,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.339497,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.340251,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.340825,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.341470,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.342005,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.342744,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.364451,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.365129,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.365752,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.366768,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.367396,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.368153,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.387417,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.388252,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.389561,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.391877,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.393139,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.394016,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.410804,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.411618,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.412455,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.413399,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.414281,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.415560,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.435546,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.436542,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.437351,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.438806,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
39.440467,150.0000,50.0180,10.0000,0.0000,0.0000,100.0000,0.000000,11.532,0.000,0.000,181.93900,-11.53200,0.0000
